program,year,rtscore,IMDB,label,premise,url,seasons,episodes,network,notes,actors,viewpilot,viewseason1average,viewseason1finale,viewaverage,viewfinale
Angel From Hell,2016,41,6.2,fail,"Intense and driven, Allison writes off the seemingly inebriated nut who pops into her life claiming to be her guardian angel right away, but when all of Amy's warnings come true, she's forced to reconsider her stance. Warned by Amy not to tell anyone about her, Allison is unable to talk about the situation with her father and business partner, Marv, or her younger brother, Brad. Unable to resist the strange woman's insistence that she will nudge her in the right direction in life, a reluctant Allison agrees to the friendship which, in the end, may turn out to be exactly what the doctor ordered.",https://www.springfieldspringfield.co.uk/view_episode_scripts.php?tv-show=angel-from-hell-2016&episode=s01e01,1,13,cbs,,,8.13,3.76,1.57,3.76,1.57
Saint George,2014,33,4.5,fail,"Recently divorced entrepreneur George Lopez is successful in his business ventures but caught between two cultures in his personal life. He struggles to find balance between the parenting demands of his Anglo ex-wife, Mackenzie, and the cultural expectations of his Latina mother, Alma. His freeloading Uncle Tio and Cousin Junior further complicate his life, which includes 11-year-old son Harper. Outside the home, the successful businessman gives back to the community by teaching history to a multicultural class at a Los Angeles night school; there he is supervised by tough, attractive Assistant Principal Concepcion.",https://www.springfieldspringfield.co.uk/view_episode_scripts.php?tv-show=saint-george-2014&episode=s01e01,1,10,fx,,george lopez,1.21,0.75,0.65,0.75,0.65
Crowded,2015,32,6.4,fail,"After 20 years in the roles of mom and dad, Mike and Martina have the house to themselves again and are cutting loose and becoming reaquainted their wild sides. Events quickly make it clear that the freewheeling lifestyle will have to go back to being a fantasy -- at least for a while -- when their two adult daughters unexpectedly move back in. To make matters worse, Mike's parents cancel their plans to live out their golden years in Florida. Mike and Martina find themselves with a full house again, having to readjust to living their lives around others after their brief and intoxicating taste of well-earned freedom.",https://www.springfieldspringfield.co.uk/view_episode_scripts.php?tv-show=crowded-2015&episode=s01e00,1,13,nbc,,,6.51,3.82,2.12,3.82,2.12
That '80s Show,2002,0,4.8,fail,"A group of 20-somethings navigates through San Diego in the midst of the trends and politics of the 1980s. Stereotypically, the punks, the material girls, the yuppies and the Madonna wannabes all hang together and find reasons to frequent a record store run by a former groupie. Regular characters on the show include struggling musician Corey Howard, punk-rocker June Tuesday and Corey's father, R.T., who is representative of the decade's mentality of buying oneself extravagant gifts and having an excessive lifestyle.",https://www.springfieldspringfield.co.uk/view_episode_scripts.php?tv-show=that-80s-show-2002&episode=s01e01,1,13,fox,,,11.4,6.8,5.1,6.8,5.1
Charlie's Angels,2011,0,4.4,fail,"The show that ushered in the phrase ""jiggle TV"" features three beautiful police academy-trained private detectives whose cases always seem to require that they don bikinis, evening gowns or other sexy clothing. The unseen Charlie relays instructions via speakerphone.",https://www.springfieldspringfield.co.uk/view_episode_scripts.php?tv-show=charlies-angels&episode=s01e01,1,7,abc,"1 additional unaired, remake",,8.76,6.24,5.1,6.24,5.1
Bleep My Dad Says,2010,0,6.3,fail,"Legendary actor William Shatner stars in this comedy series based on a popular Twitter feed. Shatner plays Ed Goodson, a forthright father who is not afraid to express his opinions, regardless of how politically incorrect they may be. Ed's sons are no strangers to their father's rants. When one of his sons, struggling writer-blogger Henry, can no longer pay his rent, Ed invites Henry to move into his house, making Henry his captive audience.",https://www.springfieldspringfield.co.uk/view_episode_scripts.php?tv-show=my-dad-says&episode=s01e01,1,18,cbs,,william shatner,12.6,10.32,9.7,10.32,9.7
1600 Penn,2012,42,5.7,fail,"The Gilchrists struggle with everyday problems -- with one big difference, their head of household is also the leader of the free world. Between entertaining foreign dignitaries, holding secret Cabinet meetings and dealing with emergencies, the president's family must also face everyday issues like a grown son moving in and becoming one of the administration's biggest liabilities. Teenagers who are too smart for their own good and a stepmother who struggles to connect with the children add to the mix. Despite their extraordinary setting, the Gilchrists prove that, at the end of the day, people are just people.",https://www.springfieldspringfield.co.uk/view_episode_scripts.php?tv-show=1600-penn&episode=s01e01,1,13,nbc,,Bill Pullman,6.88,2.48,1.91,2.48,1.91
Napoleon Dynamite,2012,25,6.4,fail,"Fans of the hit movie of the same name will be glad to see Napoleon Dynamite (Jon Heder) and his weird family and friends are back, this time in a weekly animated series. Napoleon is a 16-year-old who believes he is destined for greatness, although most people around him can't see why. He lives with his unemployed 32-year-old brother at his grandmother's house in rural Idaho. His friends, Pedro and Deb, are the faithful type, who see past Napoleon's strangeness and stand by his side through it all.",https://www.springfieldspringfield.co.uk/view_episode_scripts.php?tv-show=napoleon-dynamite-2011&episode=s01e01,1,6,fox,animated,,9.5,5.56,4.05,5.56,4.05
Kath & Kim,2008,21,4.9,fail,"The hit Australian sitcom about a comically dysfunctional suburban woman and her daughter picks up an American accent in this remake starring ""Saturday Night Live"" alumna Molly Shannon and Selma Blair. Kath Day (Shannon) is a 40-something divorcee, who owns a home salon business, looking for a new romance in the form of sandwich-shop owner Phil Knight (John Michael Higgins), while daughter Kim is a spoiled princess who is reeling from her recent separation from her husband of six weeks, Craig.",https://www.springfieldspringfield.co.uk/view_episode_scripts.php?tv-show=kath-and-kim-2008&episode=s01e01,1,17,nbc,remake of Australian show of same name,"Molly Shannon, Selma Blair",7.5,5.07,4,5.07,4
Modern Family,2009,86,8.4,success,"Told from the perspective of an unseen documentary filmmaker, the series offers an honest, often-hilarious perspective of family life. Parents Phil and Claire yearn for an honest, open relationship with their three kids. But a daughter who is trying to grow up too fast, another who is too smart for her own good, and a rambunctious young son make it challenging. Claire's dad, Jay, and his Latina wife, Gloria, are raising two sons together, but people sometimes believe Jay to be Gloria's father. Jay's gay son, Mitchell, and his partner, Cameron, have adopted a little Asian girl, completing one big -- straight, gay, multicultural, traditional -- happy family.",https://www.springfieldspringfield.co.uk/view_episode_scripts.php?tv-show=modern-family&episode=s01e01,11,238,abc,still airing (final season),,12.6,9.49,10.1,10.23,TBD
The Big Bang Theory,2007,81,8.1,success,"Mensa-fied best friends and roommates Leonard and Sheldon, physicists who work at the California Institute of Technology, may be able to tell everybody more than they want to know about quantum physics, but getting through most basic social situations, especially ones involving women, totally baffles them. How lucky, then, that babe-alicious waitress/aspiring actress Penny moves in next door. Frequently seen hanging out with Leonard and Sheldon are friends and fellow Caltech scientists Wolowitz and Koothrappali. Will worlds collide? Does Einstein theorize in the woods?",https://www.springfieldspringfield.co.uk/view_episode_scripts.php?tv-show=big-bang-theory&episode=s01e01,12,279,cbs,,,9.5,8.44,7.3,17.31,18.5
Two and a Half Men,2003,63,7,success,"Chiropractor and single father Alan Harper lives in a beachfront house with divorced Internet billionaire Walden Schmidt, who bought the house following the untimely death of Alan's brother, Charlie. As they acclimate to their living arrangement, the tightly wound Alan finds himself taking on a mentor role with Walden, whose lifelong dependence on being taken care of has left him a bit naive. Despite his unsuccessful romantic history, Alan also tries to help Walden overcome his limited experiences with dating. Berta, a sharp-tongued, unapologetic housekeeper, is also featured in the series.",https://www.springfieldspringfield.co.uk/view_episode_scripts.php?tv-show=two-and-a-half-men&episode=s01e01,12,262,cbs,"after season 7, charlie sheen was replaced by ashton kutcher","ashton kutcher, charlie sheen",18.4,15.31,18.2,14.07,13.5
How I Met Your Mother,2005,83,8.3,success,"Ted has fallen in love. It all started when his best friend, Marshall, drops the bombshell that he plans to propose to longtime girlfriend Lily, a kindergarten teacher. Suddenly, Ted realizes that he had better get a move on if he hopes to find true love. Helping him in the quest is Barney, a friend with endless -- often outrageous -- opinions, a penchant for suits and a foolproof way to meet women. When Ted meets Robin, he is sure it's love at first sight, but the affair fizzles into friendship. Voice-over by Bob Saget (""Full House"") tells the story through flashbacks.",https://www.springfieldspringfield.co.uk/view_episode_scripts.php?tv-show=how-i-met-your-mother&episode=s01e01,9,208,cbs,,,10.9,9.47,8.6,9.18,13.13
Malcolm in the Middle,2000,93,8,success,"The Cleavers they ain't. Mom is a screaming control freak, Dad is a goofy human hairball, oldest son Francis escaped the family at a young age, Reese is just criminal, Dewey is a space cadet and young Jamie is the scapegoat. The middle kid, Malcolm (who delivers the narrative for the capers of this whacked-out clan) is a brainiac who doesn't want to be burdened by his genius.",https://www.springfieldspringfield.co.uk/view_episode_scripts.php?tv-show=malcolm-in-the-middle&episode=s01e01,7,151,fox,,,22.4,15.2,13.9,10.17,7.4
The Good Place,2016,96,8.1,success,"When Eleanor Shellstrop finds herself in the afterlife, she's both relieved and surprised that she's made it into the Good Place. But it doesn't take long for Eleanor to realize she's there by mistake. She hides in plain sight from the Good Place's architect, Michael, and his all-knowing assistant, Janet. Her seemingly perfect neighbors, Tahani and Jason, and open-hearted soul mate, Chidi, help her realize that it's never too late to change. With the help of her new friends -- and a few enemies -- Eleanor becomes determined to shed her old way of life in hopes of discovering a new one in the afterlife.",https://www.springfieldspringfield.co.uk/view_episode_scripts.php?tv-show=the-good-place-2016&episode=s01e01,4,46,nbc,still airing (final season),kirsten bell,8.04,5.72,3.93,5.36,TBD
That '70s Show,1998,86,8.1,success,"Set in the mood ring and polyester era of the 1970s, the programme is a retro-hip situation comedy about an eclectic group of friends on the verge of adulthood. The group live in the suburbs of Wisconsin, where they yearn for independence amid the growing pains of becoming adults.",https://www.springfieldspringfield.co.uk/view_episode_scripts.php?tv-show=that-70s-show&episode=s01e01,8,200,fox,,,,11.7,,9.23,
Parks and Recreation,2009,92,8.6,success,"Leslie Knope, a midlevel bureaucrat in an Indiana Parks and Recreation Department, hopes to beautify her town (and boost her own career) by helping local nurse Ann Perkins turn an abandoned construction site into a community park, but what should be a fairly simple project is stymied at every turn by oafish bureaucrats, selfish neighbours, governmental red tape and a myriad of other challenges. Leslie's colleague Tom Haverford, who delights in exploiting his position for personal gain, is as likely to undermine her efforts as to help her, while her boss, Ron Swanson, is adamantly opposed to government in any form, even though he's a bureaucrat himself.",https://www.springfieldspringfield.co.uk/view_episode_scripts.php?tv-show=parks-and-recreation&episode=s01e01,7,125,nbc,,amy poehler,6.77,6,4.25,4.64,4.15
New Girl,2011,94,7.7,success,"After going through a rough breakup, awkward and upbeat Jess (Zooey Deschanel) moves in with three single guys. Intelligent and witty Nick is an underachiever who took the bartender off-ramp on his road to success. Schmidt obsesses over his social standing and looks at Jess as a personal project. Winston is a competitive former athlete who, after realizing he will never become a pro, moves into the loft. Together with Jess' best friend, Cece, they bond to form an unlikely, and dysfunctional, family.",https://www.springfieldspringfield.co.uk/view_episode_scripts.php?tv-show=new-girl&episode=s01e01,7,146,fox,,zooey deschanel,10.28,8.1,5.61,4.42,1.47
